CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F576,F580,F584,F637,F638,F588,F639,F640,F641,F642,F592,F643,F644,F645,F646,F647,F648,F649,F596,F650,F651,F652,F653,F600,F654,F655,F656,F657,F658,F659,F604,F660,F661,F662,F663,F608,F664,F665,F666,F667,F668,F669,F670,F612,F671,F672,F673,F674,F675,F616,F620,F624,F628,F632,F636
,,,,,"Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : All categories: NS-SeC - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : 1. Higher managerial; administrative and professional occupations - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : 1.1 Large employers and higher managerial and administrative occupations - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L1 Employers in large establishments - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L2 Higher managerial and administrative occupations - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : 1.2 Higher professional occupations - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L3.1 Traditional employees - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L3.2 New employees - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L3.3 Traditional self-employed - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L3.4 New self-employed - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : 2. Lower managerial; administrative and professional occupations - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L4 Lower professional and higher technical occupations - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L4.1 Traditional employees - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L4.2 New employees - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L4.3 Traditional self-employed - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L4.4 New self-employed - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L5 Lower managerial and administrative occupations - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L6 Higher supervisory occupations - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : 3. Intermediate occupations - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L7.1 Intermediate clerical and administrative occupations - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L7.2 Intermediate sales and service occupations - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L7.3 Intermediate technical and auxiliary occupations - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L7.4 Intermediate engineering occupations - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : 4. Small employers and own account workers - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L8 Employers in small establishments - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L8.1 Employers in small establishments in industry; commerce; services etc. - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L8.2 Employers in small establishments in agriculture - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L9 Own account workers - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L9.1 Own account workers (non-professional) - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L9.2 Own account workers (agriculture) - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : 5. Lower supervisory and technical occupations - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L10 Lower supervisory occupations - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L11 Lower technical occupations - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L11.1 Lower technical craft occupations - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L11.2 Lower technical process operative occupations - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : 6. Semi-routine occupations - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L12.1 Semi-routine sales occupations - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L12.2 Semi-routine service occupations - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L12.3 Semi-routine technical occupations - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L12.4 Semi-routine operative occupations - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L12.5 Semi-routine agricultural occupations - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L12.6 Semi-routine clerical occupations - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L12.7 Semi-routine childcare occupations - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : 7. Routine occupations - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L13.1 Routine sales and service occupations - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L13.2 Routine production occupations - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L13.3 Routine technical occupations - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L13.4 Routine operative occupations - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L13.5 Routine agricultural occupations - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : 8. Never worked and long-term unemployed - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L14.1 Never worked - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L14.2 Long-term unemployed - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : Not classified - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L15 Full-time students - Unit : Persons","Age : Age 16 to 74 - NS-SeC (National Statistics Socio-economic Classification) : L17 Not classifiable for other reasons - Unit : Persons"
2353,E05001341,Baildon,"Wards and Electoral Divisions",WED,11326,1528,375,0,375,1153,562,421,141,29,2992,1916,1487,205,177,47,678,398,1869,1272,442,110,45,1222,332,325,7,890,869,21,709,368,341,309,32,1266,369,455,91,135,5,149,62,820,149,106,272,288,5,311,177,134,609,609,0
2354,E05001342,Bingley,"Wards and Electoral Divisions",WED,13412,1868,434,2,432,1434,715,527,153,39,3564,2358,1883,260,167,48,826,380,2160,1370,580,160,50,1232,318,314,4,914,892,22,803,394,409,360,49,1403,394,509,111,165,5,171,48,1137,186,130,385,426,10,413,225,188,832,832,0
2355,E05001343,"Bingley Rural","Wards and Electoral Divisions",WED,13236,1497,392,4,388,1105,549,376,150,30,3310,2114,1698,211,157,48,754,442,2091,1331,559,157,44,1392,433,411,22,959,907,52,880,418,462,408,54,1637,404,614,122,197,14,200,86,1170,176,145,390,451,8,404,258,146,855,855,0
2356,E05001344,"Bolton and Undercliffe","Wards and Electoral Divisions",WED,11488,637,168,0,168,469,241,175,43,10,1866,1128,906,126,72,24,468,270,1715,1041,507,111,56,947,239,237,2,708,704,4,932,481,451,386,65,1871,566,701,135,236,3,160,70,1491,203,255,442,587,4,1045,727,318,984,984,0
2357,E05001345,"Bowling and Barkerend","Wards and Electoral Divisions",WED,13592,440,109,0,109,331,188,98,32,13,1270,810,652,87,56,15,272,188,1257,694,468,75,20,1051,301,296,5,750,747,3,924,505,419,359,60,2143,532,869,186,347,12,131,66,2289,277,494,555,956,7,2756,2306,450,1462,1462,0
2358,E05001346,"Bradford Moor","Wards and Electoral Divisions",WED,13537,313,68,1,67,245,147,67,30,1,1014,694,544,78,50,22,191,129,984,505,403,61,15,1193,337,336,1,856,854,2,731,369,362,329,33,1845,600,703,106,279,8,107,42,1892,254,451,400,783,4,3682,3257,425,1883,1883,0
2359,E05001347,City,"Wards and Electoral Divisions",WED,17858,543,66,0,66,477,271,150,44,12,1208,820,643,86,67,24,249,139,1030,514,418,72,26,1009,305,305,0,704,692,12,727,429,298,254,44,1722,495,586,101,375,14,121,30,2104,195,629,355,921,4,3274,2820,454,6241,6241,0
2360,E05001348,"Clayton and Fairweather Green","Wards and Electoral Divisions",WED,11528,695,169,0,169,526,272,196,50,8,2021,1338,1113,110,87,28,421,262,1586,916,479,141,50,934,231,231,0,703,690,13,818,447,371,321,50,1785,465,720,157,252,2,139,50,1672,165,317,465,715,10,991,735,256,1026,1026,0
2361,E05001349,Craven,"Wards and Electoral Divisions",WED,11977,1420,372,4,368,1048,543,375,107,23,3003,1966,1577,177,169,43,644,393,1691,1033,430,189,39,1470,374,352,22,1096,996,100,800,414,386,349,37,1508,446,597,96,161,18,146,44,1187,194,181,397,402,13,238,162,76,660,660,0
