CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F576,F580,F584,F637,F638,F588,F639,F640,F641,F642,F592,F643,F644,F645,F646,F647,F648,F649,F596,F650,F651,F652,F653,F600,F654,F655,F656,F657,F658,F659,F604,F660,F661,F662,F663,F608,F664,F665,F666,F667,F668,F669,F670,F612,F671,F672,F673,F674,F675,F616,F620,F624,F628,F632,F636
2362,E05001350,Eccleshill,"Wards and Electoral Divisions",WED,12554,582,147,0,147,435,228,168,31,8,1900,1075,865,137,63,10,496,329,1748,1042,573,96,37,940,212,211,1,728,724,4,1104,587,517,453,64,2292,634,933,198,292,9,167,59,2092,251,327,571,937,6,1037,694,343,859,859,0
2363,E05001351,"Great Horton","Wards and Electoral Divisions",WED,11931,526,108,0,108,418,239,134,34,11,1429,916,787,70,49,10,317,196,1349,802,411,99,37,1023,250,250,0,773,771,2,729,388,341,294,47,1857,561,722,133,283,1,112,45,1886,217,462,416,785,6,1893,1549,344,1239,1239,0
2364,E05001352,Heaton,"Wards and Electoral Divisions",WED,11220,826,135,2,133,691,384,176,116,15,1747,1270,1031,84,128,27,297,180,1179,671,360,124,24,1120,357,357,0,763,757,6,544,297,247,220,27,1253,359,484,78,160,0,109,63,1130,154,291,258,421,6,1994,1712,282,1427,1427,0
2365,E05001353,"Idle and Thackley","Wards and Electoral Divisions",WED,12104,1411,400,1,399,1011,442,470,79,20,2984,1863,1450,246,141,26,695,426,1964,1197,562,137,68,1146,320,313,7,826,812,14,864,391,473,405,68,1520,425,532,143,167,4,180,69,1101,132,137,423,402,7,422,251,171,692,692,0
2366,E05001354,Ilkley,"Wards and Electoral Divisions",WED,9951,2225,443,7,436,1782,989,407,341,45,3061,2045,1508,173,312,52,719,297,1140,759,271,98,12,1014,318,310,8,696,673,23,374,220,154,140,14,838,301,312,19,72,5,94,35,447,115,49,113,158,12,198,113,85,654,654,0
2367,E05001355,"Keighley Central","Wards and Electoral Divisions",WED,11980,572,140,2,138,432,220,136,63,13,1377,901,739,84,66,12,299,177,1030,553,364,92,21,1225,320,319,1,905,897,8,759,425,334,301,33,1750,519,695,141,244,7,97,47,1794,192,451,434,713,4,2322,1910,412,1151,1151,0
2368,E05001356,"Keighley East","Wards and Electoral Divisions",WED,12027,1021,293,0,293,728,372,260,82,14,2381,1506,1193,149,140,24,555,320,1606,938,456,157,55,1253,319,315,4,934,912,22,842,464,378,342,36,1732,549,633,138,216,7,128,61,1563,204,265,482,599,13,808,579,229,821,821,0
2369,E05001357,"Keighley West","Wards and Electoral Divisions",WED,11813,564,174,1,173,390,227,136,25,2,1770,1036,864,109,50,13,463,271,1514,854,471,143,46,902,219,218,1,683,670,13,1047,554,493,429,64,2297,671,885,208,311,9,142,71,2108,231,319,634,918,6,796,490,306,815,815,0
2370,E05001358,"Little Horton","Wards and Electoral Divisions",WED,13819,375,72,0,72,303,155,83,55,10,1059,710,597,65,41,7,220,129,1062,526,399,121,16,1014,259,259,0,755,754,1,798,450,348,301,47,2041,589,787,157,313,4,134,57,2452,223,679,514,1032,4,3433,2932,501,1585,1585,0
2371,E05001359,Manningham,"Wards and Electoral Divisions",WED,13143,405,50,0,50,355,204,83,55,13,988,685,542,62,68,13,207,96,901,458,355,77,11,1079,330,328,2,749,748,1,681,336,345,305,40,1570,442,600,105,284,6,99,34,1832,239,506,359,725,3,4002,3587,415,1685,1685,0
2372,E05001360,Queensbury,"Wards and Electoral Divisions",WED,12017,1068,297,1,296,771,369,332,53,17,2506,1554,1232,190,107,25,568,384,1956,1191,580,120,65,1136,249,243,6,887,866,21,983,469,514,463,51,1702,480,653,147,186,5,169,62,1323,176,196,486,455,10,533,351,182,810,810,0
2373,E05001361,Royds,"Wards and Electoral Divisions",WED,12147,568,169,0,169,399,197,175,21,6,1872,1115,930,121,49,15,420,337,1626,935,490,155,46,887,213,211,2,674,670,4,1029,550,479,380,99,2239,621,897,211,268,4,182,56,2062,215,331,648,860,8,1052,709,343,812,812,0
2374,E05001362,Shipley,"Wards and Electoral Divisions",WED,11437,1552,281,0,281,1271,738,385,125,23,2935,2100,1724,181,158,37,528,307,1672,1035,449,138,50,866,217,217,0,649,644,5,689,384,305,258,47,1383,373,570,110,173,3,104,50,969,162,131,283,389,4,601,400,201,770,770,0
2375,E05001363,"Thornton and Allerton","Wards and Electoral Divisions",WED,12317,881,223,0,223,658,351,223,64,20,2440,1621,1354,140,104,23,492,327,1737,992,530,158,57,1116,290,288,2,826,794,32,867,429,438,389,49,1865,428,791,133,242,6,195,70,1592,193,246,462,682,9,963,666,297,856,856,0
2376,E05001364,Toller,"Wards and Electoral Divisions",WED,13096,558,89,1,88,469,263,97,97,12,1275,915,763,63,69,20,216,144,1039,546,397,76,20,1317,389,388,1,928,926,2,585,326,259,235,24,1592,456,607,67,300,5,113,44,1614,198,472,344,597,3,3332,2958,374,1784,1784,0
2377,E05001365,Tong,"Wards and Electoral Divisions",WED,14234,707,176,0,176,531,267,211,44,9,1813,1068,846,123,83,16,452,293,1521,842,528,96,55,916,230,222,8,686,677,9,1168,690,478,391,87,2533,655,975,252,371,7,193,80,2904,240,535,687,1425,17,1636,1115,521,1036,1036,0
2378,E05001366,Wharfedale,"Wards and Electoral Divisions",WED,8293,1650,376,8,368,1274,669,380,213,12,2551,1721,1379,142,169,31,557,273,1152,757,292,88,15,852,247,240,7,605,577,28,355,201,154,139,15,715,239,255,35,43,5,99,39,403,117,58,97,129,2,116,75,41,499,499,0
2379,E05001367,Wibsey,"Wards and Electoral Divisions",WED,10362,541,147,0,147,394,206,149,33,6,1586,1013,831,110,60,12,335,238,1618,1004,461,96,57,884,208,208,0,676,674,2,853,428,425,358,67,1681,481,634,143,209,5,147,62,1671,207,264,508,683,9,793,553,240,735,735,0
2380,E05001368,"Windhill and Wrose","Wards and Electoral Divisions",WED,11801,715,228,0,228,487,249,192,39,7,1963,1097,880,138,54,25,535,331,1741,1090,481,115,55,917,225,224,1,692,682,10,1002,492,510,441,69,2104,569,818,207,290,8,154,58,1817,222,257,602,726,10,763,476,287,779,779,0
2381,E05001369,"Worth Valley","Wards and Electoral Divisions",WED,10874,1242,345,0,345,897,467,314,97,19,2676,1694,1321,152,170,51,599,383,1464,846,450,114,54,1512,354,348,6,1158,1064,94,727,403,324,286,38,1333,363,508,83,151,11,139,78,1024,148,121,384,365,6,329,207,122,567,567,0
2382,E05001370,Wyke,"Wards and Electoral Divisions",WED,11143,695,227,0,227,468,245,188,25,10,1914,1135,900,151,71,13,453,326,1714,1046,497,105,66,978,211,208,3,767,756,11,1002,507,495,382,113,1800,444,671,189,249,12,182,53,1671,171,242,576,677,5,652,404,248,717,717,0
2383,E05001371,Brighouse,"Wards and Electoral Divisions",WED,8242,858,247,2,245,611,293,235,69,14,1798,1151,939,109,85,18,419,228,1177,727,324,101,25,725,202,200,2,523,511,12,648,351,297,251,46,1218,318,424,126,179,3,113,55,1021,127,152,322,417,3,316,173,143,481,481,0
2384,E05001372,Calder,"Wards and Electoral Divisions",WED,8960,1392,296,5,291,1096,614,292,159,31,2629,1985,1459,114,367,45,409,235,882,504,259,93,26,1082,240,234,6,842,784,58,485,281,204,177,27,991,253,399,97,115,7,68,52,691,128,114,223,222,4,275,147,128,533,533,0
2385,E05001373,Elland,"Wards and Electoral Divisions",WED,8570,660,171,1,170,489,239,204,37,9,1626,1016,789,134,60,33,415,195,1235,748,358,93,36,749,201,199,2,548,542,6,697,356,341,292,49,1378,313,491,144,244,1,131,54,1253,137,231,365,514,6,473,280,193,499,499,0
2386,E05001374,"Greetland and Stainland","Wards and Electoral Divisions",WED,8505,1078,308,1,307,770,346,335,72,17,2079,1316,1046,138,106,26,532,231,1155,717,297,116,25,967,272,264,8,695,672,23,612,300,312,289,23,1060,259,398,98,154,5,91,55,784,96,102,291,290,5,267,133,134,503,503,0
2387,E05001375,"Hipperholme and Lightcliffe","Wards and Electoral Divisions",WED,8267,1090,292,2,290,798,387,300,96,15,2131,1372,1084,165,104,19,480,279,1261,834,297,97,33,836,236,228,8,600,587,13,514,267,247,212,35,990,257,364,78,147,1,96,47,774,136,112,247,270,9,218,132,86,453,453,0
2388,E05001376,"Illingworth and Mixenden","Wards and Electoral Divisions",WED,9290,550,160,0,160,390,165,174,44,7,1526,878,716,79,67,16,397,251,1221,718,376,97,30,755,178,175,3,577,565,12,755,393,362,317,45,1742,403,641,209,325,2,107,55,1468,162,245,449,607,5,634,355,279,639,639,0
2389,E05001377,Luddendenfoot,"Wards and Electoral Divisions",WED,7866,1030,262,3,259,768,416,230,110,12,1980,1378,1069,119,164,26,389,213,947,582,272,72,21,977,228,218,10,749,704,45,457,241,216,191,25,913,174,380,89,127,6,88,49,804,144,135,265,256,4,243,132,111,515,515,0
2390,E05001378,"Northowram and Shelf","Wards and Electoral Divisions",WED,8629,960,280,0,280,680,320,286,58,16,2129,1370,1078,170,104,18,464,295,1482,915,398,125,44,955,275,272,3,680,665,15,596,294,302,279,23,1036,283,312,93,166,4,131,47,775,110,107,301,249,8,201,123,78,495,495,0
2391,E05001379,Ovenden,"Wards and Electoral Divisions",WED,8964,359,113,0,113,246,102,107,31,6,1223,733,606,78,39,10,278,212,1077,625,332,91,29,603,137,137,0,466,463,3,726,392,334,294,40,1806,457,640,203,340,2,121,43,1777,160,311,533,769,4,760,415,345,633,633,0
2392,E05001380,Park,"Wards and Electoral Divisions",WED,10145,361,58,0,58,303,142,108,42,11,869,564,458,61,37,8,174,131,834,454,318,51,11,858,262,262,0,596,594,2,519,310,209,179,30,1547,426,528,106,347,3,107,30,1546,126,442,422,555,1,2340,2017,323,1271,1271,0
2393,E05001381,Rastrick,"Wards and Electoral Divisions",WED,8384,869,224,1,223,645,325,247,61,12,1884,1179,946,128,84,21,438,267,1156,706,348,81,21,681,177,175,2,504,498,6,638,328,310,262,48,1229,359,405,134,153,2,124,52,1059,129,141,348,437,4,379,241,138,489,489,0
2394,E05001382,Ryburn,"Wards and Electoral Divisions",WED,8402,1144,303,2,301,841,381,320,120,20,2166,1344,1034,150,124,36,563,259,983,601,279,81,22,979,326,317,9,653,609,44,502,259,243,218,25,1001,229,364,87,174,8,87,52,838,113,130,289,291,15,284,154,130,505,505,0
2395,E05001383,Skircoat,"Wards and Electoral Divisions",WED,9118,1495,301,1,300,1194,605,419,142,28,2313,1658,1361,142,122,33,431,224,1281,815,312,126,28,757,213,212,1,544,541,3,442,244,198,183,15,1058,255,349,78,168,1,131,76,714,95,91,271,253,4,424,314,110,634,634,0
2396,E05001384,"Sowerby Bridge","Wards and Electoral Divisions",WED,8827,734,164,0,164,570,266,247,43,14,1785,1193,989,122,65,17,344,248,1265,777,365,93,30,786,189,189,0,597,586,11,718,381,337,296,41,1443,374,513,126,260,4,118,48,1177,146,168,382,478,3,398,248,150,521,521,0
2397,E05001385,Todmorden,"Wards and Electoral Divisions",WED,8969,791,192,0,192,599,345,165,71,18,1984,1356,1042,109,179,26,399,229,987,535,335,88,29,995,221,218,3,774,738,36,643,341,302,276,26,1432,316,617,166,193,10,86,44,1103,164,180,352,393,14,493,308,185,541,541,0
2398,E05001386,Town,"Wards and Electoral Divisions",WED,9053,579,141,2,139,438,182,212,34,10,1532,945,749,133,56,7,379,208,1156,637,376,99,44,717,149,149,0,568,560,8,799,454,345,307,38,1689,412,591,184,338,4,108,52,1502,172,212,444,666,8,588,316,272,491,491,0
2399,E05001387,Warley,"Wards and Electoral Divisions",WED,8575,575,159,0,159,416,194,183,34,5,1489,961,795,93,64,9,306,222,1214,792,310,75,37,708,195,195,0,513,504,9,671,354,317,284,33,1473,365,486,130,329,4,116,43,1248,124,223,430,465,6,617,413,204,580,580,0
2400,E05001389,Ashbrow,"Wards and Electoral Divisions",WED,13955,1129,300,1,299,829,427,287,104,11,2462,1564,1240,158,143,23,588,310,1482,871,450,106,55,1051,311,310,1,740,733,7,962,539,423,349,74,2058,609,828,124,266,5,150,76,2156,208,427,511,999,11,1346,938,408,1309,1309,0
2401,E05001390,"Batley East","Wards and Electoral Divisions",WED,13398,704,154,3,151,550,284,168,84,14,1731,1059,840,137,60,22,422,250,1370,721,515,106,28,1152,363,361,2,789,784,5,806,471,335,296,39,2058,796,529,159,384,0,139,51,2193,156,599,597,835,6,2228,1935,293,1156,1156,0
2402,E05001391,"Batley West","Wards and Electoral Divisions",WED,13636,815,208,1,207,607,321,200,74,12,1932,1202,985,139,63,15,458,272,1581,842,556,140,43,1191,286,286,0,905,900,5,1038,565,473,402,71,2207,673,733,185,405,7,146,58,2378,200,596,644,935,3,1499,1193,306,995,995,0
2403,E05001392,"Birstall and Birkenshaw","Wards and Electoral Divisions",WED,11937,1135,338,2,336,797,397,318,64,18,2524,1515,1193,184,114,24,616,393,1828,1140,510,126,52,1151,288,284,4,863,839,24,847,441,406,354,52,1635,451,529,169,244,12,180,50,1650,204,263,540,630,13,477,286,191,690,690,0
2404,E05001393,Cleckheaton,"Wards and Electoral Divisions",WED,12404,1084,321,3,318,763,373,313,59,18,2555,1551,1216,207,102,26,645,359,1780,1089,540,101,50,1218,325,314,11,893,872,21,1041,547,494,426,68,1876,510,609,212,306,11,184,44,1654,178,260,550,661,5,507,272,235,689,689,0
2405,E05001396,Dalton,"Wards and Electoral Divisions",WED,12902,786,218,1,217,568,320,193,49,6,2133,1318,1059,155,87,17,527,288,1571,896,470,148,57,1034,250,246,4,784,774,10,1102,558,544,453,91,2135,684,741,192,309,4,143,62,2077,246,332,613,876,10,883,572,311,1181,1181,0
2406,E05001397,"Denby Dale","Wards and Electoral Divisions",WED,12126,1618,449,5,444,1169,621,366,151,31,3016,1964,1585,202,144,33,689,363,1497,885,460,112,40,1356,382,350,32,974,903,71,909,476,433,392,41,1506,392,536,111,205,30,156,76,1263,164,218,420,445,16,308,195,113,653,653,0
2407,E05001398,"Dewsbury East","Wards and Electoral Divisions",WED,13716,837,236,1,235,601,321,213,56,11,2159,1247,1013,144,74,16,586,326,1721,990,556,128,47,1161,299,295,4,862,861,1,1171,633,538,465,73,2183,653,757,247,304,5,167,50,2477,233,469,786,981,8,1078,758,320,929,929,0
2408,E05001399,"Dewsbury South","Wards and Electoral Divisions",WED,13233,685,184,0,184,501,289,122,83,7,1727,1047,872,92,66,17,430,250,1331,712,480,98,41,1319,462,455,7,857,836,21,843,466,377,325,52,1916,695,609,204,209,8,143,48,2132,186,545,613,776,12,1906,1639,267,1374,1374,0
2409,E05001400,"Dewsbury West","Wards and Electoral Divisions",WED,13244,538,130,0,130,408,235,100,66,7,1416,917,767,87,48,15,339,160,1109,548,427,103,31,1282,388,384,4,894,890,4,878,472,406,358,48,1880,563,649,193,280,8,128,59,2579,171,748,624,1031,5,2334,1963,371,1228,1228,0
2410,E05001401,Golcar,"Wards and Electoral Divisions",WED,13490,1113,288,1,287,825,452,294,60,19,2861,1884,1539,186,125,34,609,368,1711,923,546,186,56,1099,209,208,1,890,881,9,1146,570,576,502,74,2115,575,875,179,283,2,136,65,1878,229,312,566,763,8,700,425,275,867,867,0
2411,E05001402,Greenhead,"Wards and Electoral Divisions",WED,14601,1241,233,1,232,1008,575,292,117,24,2472,1795,1440,156,166,33,440,237,1341,693,455,153,40,1250,325,322,3,925,923,2,794,442,352,294,58,1766,541,678,147,215,3,142,40,1798,184,464,421,718,11,1669,1349,320,2270,2270,0
2412,E05001403,Heckmondwike,"Wards and Electoral Divisions",WED,12173,786,231,1,230,555,297,200,49,9,1997,1228,987,141,91,9,475,294,1542,872,521,110,39,1219,330,325,5,889,880,9,977,484,493,431,62,1895,494,647,183,340,7,158,66,1783,185,373,576,642,7,1084,850,234,890,890,0
2413,E05001405,"Holme Valley South","Wards and Electoral Divisions",WED,14034,2181,588,1,587,1593,839,499,218,37,3864,2611,2035,229,294,53,821,432,1642,963,507,122,50,1702,508,478,30,1194,1141,53,816,412,404,347,57,1464,438,450,122,209,22,162,61,1169,173,218,358,403,17,338,191,147,858,858,0
2414,E05001407,Lindley,"Wards and Electoral Divisions",WED,13921,1807,445,2,443,1362,807,401,139,15,3336,2248,1875,220,119,34,702,386,1908,1151,491,204,62,1172,346,340,6,826,818,8,944,498,446,398,48,1768,510,677,106,211,7,193,64,1382,195,222,398,559,8,601,394,207,1003,1003,0
2415,E05001408,"Liversedge and Gomersal","Wards and Electoral Divisions",WED,14214,1242,410,0,410,832,396,323,92,21,2777,1653,1279,220,121,33,750,374,1877,1114,611,102,50,1303,373,365,8,930,907,23,1212,576,636,551,85,2327,597,837,226,392,13,198,64,1993,215,353,658,761,6,663,382,281,820,820,0
2416,E05001409,Mirfield,"Wards and Electoral Divisions",WED,14407,1546,438,2,436,1108,572,382,136,18,3342,2089,1684,234,131,40,822,431,2137,1295,648,142,52,1378,416,412,4,962,944,18,1127,562,565,498,67,1878,556,642,167,216,9,219,69,1611,215,269,562,559,6,484,302,182,904,904,0
2417,E05001410,Newsome,"Wards and Electoral Divisions",WED,15521,844,162,0,162,682,416,189,66,11,2150,1383,1112,123,119,29,501,266,1322,733,434,126,29,950,242,241,1,708,698,10,928,520,408,359,49,1947,562,772,154,274,4,130,51,1964,203,398,542,813,8,1413,1022,391,4003,4003,0
2418,E05001411,"Adel and Wharfedale","Wards and Electoral Divisions",WED,13947,2709,546,6,540,2163,1192,618,319,34,3840,2583,1981,277,253,72,831,426,2004,1364,480,106,54,1421,413,397,16,1008,975,33,613,344,269,246,23,1323,395,479,83,109,7,194,56,710,145,71,212,270,12,406,267,139,921,921,0
2419,E05001412,Alwoodley,"Wards and Electoral Divisions",WED,16379,2972,497,6,491,2475,1402,662,374,37,4140,2818,2148,293,272,105,916,406,2263,1481,570,160,52,1622,514,509,5,1108,1096,12,717,424,293,264,29,1669,567,646,70,95,6,213,72,930,251,90,258,323,8,801,554,247,1265,1265,0
2420,E05001413,"Ardsley and Robin Hood","Wards and Electoral Divisions",WED,16498,1676,435,4,431,1241,609,534,76,22,3643,2189,1665,357,137,30,929,525,2675,1647,776,152,100,1492,376,369,7,1116,1091,25,1217,603,614,562,52,2288,719,804,168,242,12,289,54,1880,222,213,765,670,10,632,411,221,995,995,0
