"m16_24","m25_34","m35_44","m45_54","m55_64","m65_74","f16_24","f25_34","f35_44","f45_54","f55_64","f65_74","Car","NoCar","X1.1","X1.2","X2","X3","X4","X5","X6","X7","X8","Other"
777,1319,1215,1056,915,526,724,1218,1135,1028,921,631,7966,3499,252,1138,2627,1497,775,617,1238,867,538,1917
883,1071,1222,1150,971,625,955,1254,1234,1215,1024,642,8855,3391,193,570,2114,1505,967,751,1616,1379,834,2317
1472,1941,1343,832,695,369,1446,1820,1301,836,665,419,8826,4313,64,338,920,750,950,422,1149,1164,2404,4978
1181,1423,1382,1229,988,579,1259,1766,1359,1471,953,613,8166,6037,148,446,1523,1278,770,981,2128,2440,1374,3115
474,454,840,906,809,534,407,485,912,979,864,641,7299,1006,351,1188,2378,1074,794,331,667,376,108,1039
804,897,985,1001,830,514,812,979,1085,1058,811,607,6984,3399,128,344,1385,1413,772,745,1468,1459,692,1976
878,1108,1160,1130,917,593,968,1125,1193,1149,938,663,8127,3695,202,431,1739,1543,812,888,1864,1610,676,2056
646,794,1093,1169,1069,591,649,777,1140,1231,1062,624,9082,1763,318,827,2466,1349,1393,670,1228,944,303,1348
826,938,997,1063,983,645,855,951,1046,1104,995,715,8226,2892,202,416,1701,1523,869,890,1599,1485,579,1854
563,632,782,897,771,516,546,602,802,832,754,595,5967,2325,227,561,1649,1080,665,594,1117,937,290,1172
508,465,899,1024,905,475,481,534,1032,1139,954,490,6708,2198,270,999,2397,804,987,442,904,630,251,1223
595,716,845,839,705,500,651,763,838,850,724,550,6177,2399,154,439,1461,1110,673,626,1238,1126,425,1322
545,595,912,908,785,486,484,651,928,970,770,462,7120,1376,282,705,1904,1058,886,561,971,718,245,1166
512,592,766,911,797,545,495,609,820,870,832,546,6899,1396,271,741,1978,1170,776,477,919,718,202,1043
719,676,948,903,751,525,706,755,898,935,819,633,6284,2984,140,342,1339,1071,662,662,1528,1288,556,1678
519,459,735,890,775,503,511,465,834,924,758,510,6313,1570,239,702,1810,866,893,418,835,735,222,1164
582,503,816,939,810,580,503,563,862,972,820,649,7141,1458,258,627,1963,1367,881,550,955,715,185,1098
756,780,839,879,649,414,814,883,888,886,682,455,5453,3472,97,212,1054,928,520,626,1556,1531,655,1746
1094,1318,1129,702,617,332,1139,1396,953,654,546,335,5757,4458,43,225,645,619,637,385,1149,1148,1738,3625
620,570,807,822,753,618,503,558,867,783,826,632,6249,2110,202,583,1702,1044,615,576,1110,957,342,1226
549,571,858,893,784,518,527,585,925,964,761,487,6926,1496,278,771,1985,901,897,460,917,768,260,1186
649,866,917,873,754,507,586,798,935,920,758,562,7132,1993,270,1071,2074,1149,679,396,949,640,380,1517
652,854,809,889,710,507,637,755,817,852,781,563,6123,2703,149,516,1617,1146,712,650,1307,1066,360,1304
599,677,925,891,824,487,626,728,897,917,850,521,6303,2639,172,535,1774,882,889,575,1280,986,441,1408
